"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"津山市立久米図書館","中北下1271","0868-57-3444","0868-57-3055","http://tsuyamalib.tvt.ne.jp/","","133.89957305248657","35.060161761818442"
"津山市立図書館","新魚町17","0868-24-2919","0868-24-3529","http://tsuyamalib.tvt.ne.jp/","視聴覚ライブラリー","134.00057272053272","35.058688744549109"
"津山市立加茂町図書館","加茂町塔中113-6","0868-42-7032","0868-42-7034","http://tsuyamalib.tvt.ne.jp/","","134.05541621645636","35.1789699907531"
"津山市立勝北図書館","新野東584","0868-36-8622","0868-36-7520","http://tsuyamalib.tvt.ne.jp/","","134.11035553131785","35.10440222560392"
