"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"明星幼稚園","平福875-1","0868-28-1093","0858-28-1995","http://ww32.tiki.ne.jp/~myojo/index.html","私立","133.9655458228028","35.046163716433711"
"美作大学付属幼稚園","北園町75","0868-22-7500","0868-22-7512","http://www.mimasaka.ac.jp/kinder/","私立","134.00757597750444","35.075358568944829"
"津山市立鶴山幼稚園","小田中184","0868-22-2352","0868-22-2352","https://www.city.tsuyama.lg.jp/life/index2.php?id=2259","市立","133.99874284844725","35.068715587088064"
"津山市立二宮幼稚園","二宮1977","0868-28-0686","0868-28-0686","https://www.city.tsuyama.lg.jp/life/index2.php?id=1036","市立","133.96822352264476","35.060618682422771"
"津山市立阿波幼稚園","阿波1788-1","0868-46-2403","0868-46-2403","https://www.city.tsuyama.lg.jp/life/index2.php?id=92","市立","134.11269163838759","35.23821532480234"
