全国地方公共団体コード,都道府県名,市区町村名,集計時点_年月日,曜日,検査実施人数,,
330001,岡山県,,2020/6/23,火,12,,
330001,岡山県,,2020/6/24,水,9,,
330001,岡山県,,2020/6/25,木,9,,
330001,岡山県,,2020/6/26,金,6,,
330001,岡山県,,2020/6/27,土,14,,
330001,岡山県,,2020/6/28,日,6,,
330001,岡山県,,2020/6/29,月,9,,
330001,岡山県,,2020/6/30,火,8,,
330001,岡山県,,2020/7/1,水,11,,
330001,岡山県,,2020/7/2,木,10,,
330001,岡山県,,2020/7/3,金,12,,
330001,岡山県,,2020/7/4,土,7,,
330001,岡山県,,2020/7/5,日,5,,
330001,岡山県,,2020/7/6,月,11,,
330001,岡山県,,2020/7/7,火,15,,
330001,岡山県,,2020/7/8,水,12,,
330001,岡山県,,2020/7/9,木,5,,
330001,岡山県,,2020/7/10,金,0,,
330001,岡山県,,2020/7/11,土,7,,
330001,岡山県,,2020/7/12,日,8,,
330001,岡山県,,2020/7/13,月,10,,
330001,岡山県,,2020/7/14,火,10,,
330001,岡山県,,2020/7/15,水,28,,
330001,岡山県,,2020/7/16,木,46,,
330001,岡山県,,2020/7/17,金,146,,
330001,岡山県,,2020/7/18,土,55,,
330001,岡山県,,2020/7/19,日,28,,
330001,岡山県,,2020/7/20,月,29,,
330001,岡山県,,2020/7/21,火,61,,
330001,岡山県,,2020/7/22,水,48,,
330001,岡山県,,2020/7/23,木,32,,
330001,岡山県,,2020/7/24,金,40,,
330001,岡山県,,2020/7/25,土,39,,
330001,岡山県,,2020/7/26,日,55,,
330001,岡山県,,2020/7/27,月,35,,
330001,岡山県,,2020/7/28,火,57,,
330001,岡山県,,2020/7/29,水,74,,
330001,岡山県,,2020/7/30,木,135,,
330001,岡山県,,2020/7/31,金,72,,
330001,岡山県,,2020/8/1,土,47,,
330001,岡山県,,2020/8/2,日,29,,
330001,岡山県,,2020/8/3,月,42,,
330001,岡山県,,2020/8/4,火,62,,
330001,岡山県,,2020/8/5,水,44,,
330001,岡山県,,2020/8/6,木,58,,
330001,岡山県,,2020/8/7,金,137,,
330001,岡山県,,2020/8/8,土,53,,
330001,岡山県,,2020/8/9,日,15,,
330001,岡山県,,2020/8/10,月,15,,
330001,岡山県,,2020/8/11,火,58,,
330001,岡山県,,2020/8/12,水,102,,
330001,岡山県,,2020/8/13,木,30,,
330001,岡山県,,2020/8/14,金,48,,
330001,岡山県,,2020/8/15,土,35,,
330001,岡山県,,2020/8/16,日,15,,
330001,岡山県,,2020/8/17,月,11,,
330001,岡山県,,2020/8/18,火,26,,
330001,岡山県,,2020/8/19,水,24,,
330001,岡山県,,2020/8/20,木,53,,
330001,岡山県,,2020/8/21,金,62,,
330001,岡山県,,2020/8/22,土,66,,
330001,岡山県,,2020/8/23,日,26,,
330001,岡山県,,2020/8/24,月,23,,
330001,岡山県,,2020/8/25,火,24,,
330001,岡山県,,2020/8/26,水,5,,
330001,岡山県,,2020/8/27,木,66,,
330001,岡山県,,2020/8/28,金,26,,
330001,岡山県,,2020/8/29,土,22,,
330001,岡山県,,2020/8/30,日,6,,
330001,岡山県,,2020/8/31,月,3,,
330001,岡山県,,2020/9/1,火,8,,
330001,岡山県,,2020/9/2,水,8,,
330001,岡山県,,2020/9/3,木,4,,
330001,岡山県,,2020/9/4,金,16,,
330001,岡山県,,2020/9/5,土,34,,
330001,岡山県,,2020/9/6,日,6,,
330001,岡山県,,2020/9/7,月,9,,
330001,岡山県,,2020/9/8,火,17,,
330001,岡山県,,2020/9/9,水,11,,
330001,岡山県,,2020/9/10,木,7,,
330001,岡山県,,2020/9/11,金,4,,
330001,岡山県,,2020/9/12,土,6,,
330001,岡山県,,2020/9/13,日,2,,
330001,岡山県,,2020/9/14,月,11,,
330001,岡山県,,2020/9/15,火,4,,
330001,岡山県,,2020/9/16,水,4,,
330001,岡山県,,2020/9/17,木,4,,
330001,岡山県,,2020/9/18,金,6,,
330001,岡山県,,2020/9/19,土,4,,
330001,岡山県,,2020/9/20,日,5,,
330001,岡山県,,2020/9/21,月,5,,
330001,岡山県,,2020/9/22,火,4,,
330001,岡山県,,2020/9/23,水,3,,
330001,岡山県,,2020/9/24,木,6,,
330001,岡山県,,2020/9/25,金,8,,
330001,岡山県,,2020/9/26,土,7,,
330001,岡山県,,2020/9/27,日,51,,
330001,岡山県,,2020/9/28,月,12,,
330001,岡山県,,2020/9/29,火,11,,
330001,岡山県,,2020/9/30,水,17,,
330001,岡山県,,2020/10/1,木,6,,
330001,岡山県,,2020/10/2,金,8,,
330001,岡山県,,2020/10/3,土,6,,
330001,岡山県,,2020/10/4,日,6,,
330001,岡山県,,2020/10/5,月,2,,
330001,岡山県,,2020/10/6,火,4,,
330001,岡山県,,2020/10/7,水,1,,
330001,岡山県,,2020/10/8,木,2,,
330001,岡山県,,2020/10/9,金,3,,
330001,岡山県,,2020/10/10,土,5,,
330001,岡山県,,2020/10/11,日,3,,
330001,岡山県,,2020/10/12,月,6,,
330001,岡山県,,2020/10/13,火,8,,
330001,岡山県,,2020/10/14,水,3,,
330001,岡山県,,2020/10/15,木,3,,
330001,岡山県,,2020/10/16,金,9,,
330001,岡山県,,2020/10/17,土,2,,
330001,岡山県,,2020/10/18,日,1,,
330001,岡山県,,2020/10/19,月,1,,
330001,岡山県,,2020/10/20,火,33,,
330001,岡山県,,2020/10/21,水,3,,
330001,岡山県,,2020/10/22,木,9,,
330001,岡山県,,2020/10/23,金,40,,
330001,岡山県,,2020/10/24,土,35,,
330001,岡山県,,2020/10/25,日,40,,
330001,岡山県,,2020/10/26,月,12,,
330001,岡山県,,2020/10/27,火,34,,
330001,岡山県,,2020/10/28,水,112,,
330001,岡山県,,2020/10/29,木,37,,
330001,岡山県,,2020/10/30,金,80,,
330001,岡山県,,2020/10/31,土,80,,
330001,岡山県,,2020/11/1,日,28,,
330001,岡山県,,2020/11/2,月,30,,
330001,岡山県,,2020/11/3,火,33,,
330001,岡山県,,2020/11/4,水,53,,
330001,岡山県,,2020/11/5,木,20,,
330001,岡山県,,2020/11/6,金,16,,
330001,岡山県,,2020/11/7,土,55,,
330001,岡山県,,2020/11/8,日,146,,
330001,岡山県,,2020/11/9,月,13,,
330001,岡山県,,2020/11/10,火,14,,
330001,岡山県,,2020/11/11,水,76,,
330001,岡山県,,2020/11/12,木,70,,
330001,岡山県,,2020/11/13,金,121,,
330001,岡山県,,2020/11/14,土,72,,
330001,岡山県,,2020/11/15,日,164,,
330001,岡山県,,2020/11/16,月,67,,
330001,岡山県,,2020/11/17,火,24,,
330001,岡山県,,2020/11/18,水,36,,
330001,岡山県,,2020/11/19,木,27,,
330001,岡山県,,2020/11/20,金,97,,
330001,岡山県,,2020/11/21,土,81,,
330001,岡山県,,2020/11/22,日,78,,
330001,岡山県,,2020/11/23,月,81,,
330001,岡山県,,2020/11/24,火,56,,
330001,岡山県,,2020/11/25,水,86,,
330001,岡山県,,2020/11/26,木,13,,
330001,岡山県,,2020/11/27,金,21,,
330001,岡山県,,2020/11/28,土,65,,
330001,岡山県,,2020/11/29,日,52,,
330001,岡山県,,2020/11/30,月,95,,
330001,岡山県,,2020/12/1,火,46,,
330001,岡山県,,2020/12/2,水,64,,
330001,岡山県,,2020/12/3,木,3,,
330001,岡山県,,2020/12/4,金,24,,
330001,岡山県,,2020/12/5,土,19,,
330001,岡山県,,2020/12/6,日,114,,
330001,岡山県,,2020/12/7,月,50,,
330001,岡山県,,2020/12/8,火,30,,
330001,岡山県,,2020/12/9,水,196,,
330001,岡山県,,2020/12/10,木,133,,
330001,岡山県,,2020/12/11,金,64,,
330001,岡山県,,2020/12/12,土,78,,
330001,岡山県,,2020/12/13,日,105,,
330001,岡山県,,2020/12/14,月,104,,
330001,岡山県,,2020/12/15,火,45,,
330001,岡山県,,2020/12/16,水,54,,
330001,岡山県,,2020/12/17,木,119,,
330001,岡山県,,2020/12/18,金,112,,
330001,岡山県,,2020/12/19,土,157,,
330001,岡山県,,2020/12/20,日,102,,
330001,岡山県,,2020/12/21,月,95,,
330001,岡山県,,2020/12/22,火,60,,
330001,岡山県,,2020/12/23,水,105,,
330001,岡山県,,2020/12/24,木,164,,
330001,岡山県,,2020/12/25,金,52,,
330001,岡山県,,2020/12/26,土,38,,
330001,岡山県,,2020/12/27,日,91,,
330001,岡山県,,2020/12/28,月,53,,
330001,岡山県,,2020/12/29,火,37,,
330001,岡山県,,2020/12/30,水,3,,
330001,岡山県,,2020/12/31,木,219,,
330001,岡山県,,2021/1/1,金,0,,
330001,岡山県,,2021/1/2,土,66,,
330001,岡山県,,2021/1/3,日,13,,
330001,岡山県,,2021/1/4,月,89,,
330001,岡山県,,2021/1/5,火,142,,
330001,岡山県,,2021/1/6,水,109,,
330001,岡山県,,2021/1/7,木,104,,
330001,岡山県,,2021/1/8,金,88,,
330001,岡山県,,2021/1/9,土,64,,
330001,岡山県,,2021/1/10,日,92,,
330001,岡山県,,2021/1/11,月,118,,
330001,岡山県,,2021/1/12,火,66,,
330001,岡山県,,2021/1/13,水,39,,
330001,岡山県,,2021/1/14,木,33,,
330001,岡山県,,2021/1/15,金,52,,
330001,岡山県,,2021/1/16,土,79,,
330001,岡山県,,2021/1/17,日,112,,
330001,岡山県,,2021/1/18,月,182,,
330001,岡山県,,2021/1/19,火,77,,
330001,岡山県,,2021/1/20,水,74,,
330001,岡山県,,2021/1/21,木,54,,
330001,岡山県,,2021/1/22,金,22,,
330001,岡山県,,2021/1/23,土,37,,
330001,岡山県,,2021/1/24,日,129,,
330001,岡山県,,2021/1/25,月,132,,
330001,岡山県,,2021/1/26,火,133,,
330001,岡山県,,2021/1/27,水,19,,
330001,岡山県,,2021/1/28,木,6,,
330001,岡山県,,2021/1/29,金,47,,
330001,岡山県,,2021/1/30,土,26,,
330001,岡山県,,2021/1/31,日,95,,
330001,岡山県,,2021/2/1,月,85,,
330001,岡山県,,2021/2/2,火,178,,
330001,岡山県,,2021/2/3,水,5,,
330001,岡山県,,2021/2/4,木,4,,
330001,岡山県,,2021/2/5,金,7,,
330001,岡山県,,2021/2/6,土,32,,
330001,岡山県,,2021/2/7,日,44,,
330001,岡山県,,2021/2/8,月,94,,
330001,岡山県,,2021/2/9,火,43,,
330001,岡山県,,2021/2/10,水,6,,
330001,岡山県,,2021/2/11,木,35,,
330001,岡山県,,2021/2/12,金,10,,
330001,岡山県,,2021/2/13,土,48,,
330001,岡山県,,2021/2/14,日,37,,
330001,岡山県,,2021/2/15,月,104,,
330001,岡山県,,2021/2/16,火,66,,
330001,岡山県,,2021/2/17,水,1,,
330001,岡山県,,2021/2/18,木,0,,
330001,岡山県,,2021/2/19,金,4,,
330001,岡山県,,2021/2/20,土,9,,
330001,岡山県,,2021/2/21,日,40,,
330001,岡山県,,2021/2/22,月,21,,
330001,岡山県,,2021/2/23,火,5,,
330001,岡山県,,2021/2/24,水,1,,
330001,岡山県,,2021/2/25,木,1,,
330001,岡山県,,2021/2/26,金,7,,
330001,岡山県,,2021/2/27,土,29,,
330001,岡山県,,2021/2/28,日,5,,
330001,岡山県,,2021/3/1,月,1,,
330001,岡山県,,2021/3/2,火,2,,
330001,岡山県,,2021/3/3,水,2,,
330001,岡山県,,2021/3/4,木,63,,
330001,岡山県,,2021/3/5,金,35,,
330001,岡山県,,2021/3/6,土,19,,
330001,岡山県,,2021/3/7,日,24,,
330001,岡山県,,2021/3/8,月,5,,
330001,岡山県,,2021/3/9,火,29,,
330001,岡山県,,2021/3/10,水,21,,
330001,岡山県,,2021/3/11,木,17,,
330001,岡山県,,2021/3/12,金,7,,
330001,岡山県,,2021/3/13,土,3,,
330001,岡山県,,2021/3/14,日,68,,
330001,岡山県,,2021/3/15,月,35,,
330001,岡山県,,2021/3/16,火,4,,
330001,岡山県,,2021/3/17,水,7,,
330001,岡山県,,2021/3/18,木,15,,
330001,岡山県,,2021/3/19,金,22,,
330001,岡山県,,2021/3/20,土,4,,
330001,岡山県,,2021/3/21,日,38,,
330001,岡山県,,2021/3/22,月,25,,
330001,岡山県,,2021/3/23,火,6,,
330001,岡山県,,2021/3/24,水,1,,
330001,岡山県,,2021/3/25,木,1,,
330001,岡山県,,2021/3/26,金,13,,
330001,岡山県,,2021/3/27,土,10,,
330001,岡山県,,2021/3/28,日,2,,
330001,岡山県,,2021/3/29,月,32,,
