"施設名","設置場所","住所","電話","備考","世界_10進_X","世界_10進_Y"
"津山東体育館","管理室","津山市林田1200-2","22-6623","","134.01466098140008","35.067501838603206"
"津山陸上競技場","事務所内","津山市志戸部245","24-3773","","134.01766799066439","35.082442349591382"
"津山スポーツセンター","野球場本部席","津山市勝部20-2","24-3773","","134.01710545240437","35.087547633745167"
"勝北総合スポーツ公園管理棟","管理棟事務所玄関ホール","津山市西下1100-1","36-5800","","134.08763961552802","35.105088885144411"
"グラスハウス","事務室","津山市大田512","27-7140","","134.00913324066386","35.096342811612047"
"リージョンセンター","事務室","津山市大田920","27-7150","","134.00265852108717","35.09244681870404"
"黒木キャンプ場","黒木キャンプ場黒木第３キャンプ場　管理棟内","津山市加茂町黒木646-9","42-7615","","134.04994169660824","35.236433846321063"
"久米ふれあい学習館","玄関","津山市宮尾471-1","57-2919","","133.92269879682613","35.053552519560817"
"大井西ふれあい学習館","玄関","津山市坪井上32-12","57-8676","","133.85397567368534","35.063317840436476"
"大井東ふれあい学習館","玄関","津山市宮部下860-1","57-2095","","133.88135448129324","35.070352877187609"
"倭文ふれあい学習館","玄関","津山市里公文1676-7","57-2413","","133.9086647750311","35.023235451001845"
"久米山ふれあいロッジ","ロビー","津山市神代1507-1","57-2143","","133.91835638106213","35.039175254055451"
"中央公民館","事務所右側壁","津山市大谷600","24-5111","","133.99355822387926","35.052728237554447"
"院庄公民館","玄関入り右側壁","津山市神戸187-4","28-0335","","133.94499712436738","35.060939026080085"
"一宮公民館","玄関入りすぐの研修室の壁","津山市東一宮84-1","27-0390","","133.99760323924306","35.100940398520144"
"高田公民館","玄関入りすぐ右側の壁","津山市下横野855-2","27-0371","","134.02592121895697","35.116500215270506"
"大崎公民館","玄関ホール階段と倉庫の間の壁","津山市福力221","26-1420","","134.06572116584604","35.045106724489315"
"清泉公民館","1階トイレと和室の間の壁","津山市堀坂256-2","29-1516","","134.07112705986776","35.123326757092087"
"東苫田公民館","玄関入り正面の壁面","津山市勝部20-7","22-2686","","134.01532763276316","35.085726550741782"
"二宮公民館","玄関入りすぐ左折廊下の壁","津山市二宮1982-2","28-3292","","133.96859732282346","35.06064043231607"
"佐良山公民館","玄関入りすぐ右側壁","津山市平福562","28-2543","","133.97144659172369","35.049114794655523"
"福南公民館","多目的トイレ横の壁","津山市押渕376","23-6374","","134.02612247755241","35.020391675705071"
"津山市立図書館","図書館入り口付近","津山市新魚町17","24-2919","","134.00046142795568","35.058895333209271"
"ふれあいサロン","事務室内","津山市南新座34","24-3600","","133.99819792474185","35.05745577999825"
"津山市総合斎場","会館棟待合ホール","津山市小田中1115","23-6548","","133.99221281591463","35.066512281330205"
"道の駅久米の里","道の駅久米の里","津山市宮尾563-1","57-7234","","133.92286734891633","35.056016322659694"
"林田小学校","1階職員室横玄関(東側入り口)","津山市川崎850","22-2764","","134.02564823944081","35.065055702015066"
"倭文保育所","職員室","津山市里公文1754-1","57-3021","","133.9065899282308","35.021839921860824"
"城西公民館","玄関入り会議室１と２の間の壁","津山市小田中1312-10","31-0102","","133.98982977617882","35.06218531621235"
"久米公民館","事務所内","津山市中北下1271","57-2936","","133.89975907243027","35.060438705024289"
"大久保会館","１階和室前","津山市久米川南2902-1","57-2351","","133.94427689548888","35.045206265921145"
"津山市加茂町斎場","ホール","津山市加茂町宇野2200-1","42-2911","","134.04077035271558","35.183203498379875"
"雇用労働センター","エントランス","津山市山下92-1","24-3633","","134.00667206777388","35.060965291077267"
"ときわ園","1階玄関","津山市井口100-1","0868-22-4973","","133.99066818361405","35.054387810006418"
"ウッディハウス加茂","ウッディハウス加茂","津山市加茂町中原516-1","0868-42-4466","","134.0458339150224","35.175668291749247"
"勝北公民館","玄関ホール エレベータ横柱","津山市新野東584","36-2101","","134.11083803108627","35.104788871995282"
"津山東公民館","事務室の外","津山市川崎796-2","32-1511","","134.02227484405191","35.065569944449855"
"みどりの丘保育所","玄関","津山市大田831-4","27-0300","","134.0043216856931","35.09405438320762"
"田邑公民館","玄関入りすぐの事務室の前","津山市下田邑114-1","28-0902","","133.96789541479691","35.081655566298942"
"あば温泉","１階ロビー","津山市阿波1200","46-7111","","134.11168102827432","35.235991083203537"
"津山市福岡体育館","１階柔道場内","津山市横山1234-1","24-0202","","134.00987975206988","35.053092724598976"
"中央児童館","事務室内","津山市山北765","22-2099","","134.00999041310985","35.074048645229375"
"南児童館","事務室内","津山市横山26-2","24-4400","","134.00435755468808","35.053713172093268"
"加茂児童館","事務室内","津山市加茂町中原97-1","42-3168","","134.05563652383745","35.174803314016508"
"阿波児童館","事務室内","津山市阿波1782-1","46-2076","","134.112182487112","35.238101684644533"
"交通観光案内所","事務室内","津山市横山14-31","32-2096","","134.00412394421141","35.05490566261912"
"津山東部小体育館","１階ロビー","津山市草加部1186-1","29-1092","","134.0728292514458","35.099576732364518"
"津山市西部小体育館","１階ロビー","津山市院庄1242-6","28-0787","","133.95362959045195","35.063805003366973"
"阿波こぶしアリーナ","１階事務室内","津山市阿波1785-2","32-7042","","134.1124787827404","35.237363797915549"
"津山市立つやま東幼稚園","職員室","津山市高野本郷1270-1","20-1971","","134.05055030864185","35.072759872085342"
"津山市立津山西幼稚園","職員室南入口付近","津山市二宮1982-2","32-8071","","133.968243871342","35.060598324420845"
