"名称","住所","TEL","FAX","URL","備考","世界_10進_X","世界_10進_Y"
"津山市役所本庁舎","山北520","0868-23-2111","","https://www.city.tsuyama.lg.jp/","","134.00466377260659","35.069106223656981"
"津山市役所東庁舎","山北520","0868-23-2111","","https://www.city.tsuyama.lg.jp/","","134.00714409676507","35.069739054311491"
"津山すこやか・こどもセンター","山北520","0868-23-2111","","https://www.city.tsuyama.lg.jp/","","134.00918363126652","35.0691963724155"
"津山市阿波出張所","阿波1209-4","0868-32-7042","","https://www.city.tsuyama.lg.jp/","","134.11237389156909","35.237050144000058"
"津山市加茂支所","加茂町塔中104","0868-32-7031","","https://www.city.tsuyama.lg.jp/","","134.05410004366487","35.17820364847887"
"津山市勝北支所","新野東567","0868-32-7021","","https://www.city.tsuyama.lg.jp/","","134.11263363780165","35.104827725456026"
"津山市久米支所","中北下1300","0868-32-7011","","https://www.city.tsuyama.lg.jp/","","133.90023576591142","35.059594734184714"
